date,Building0,Building1,Building3,Building4,Building5,Building6,Solar0,Solar1,Solar2,Solar3,Solar4,Solar5,temperature,dewpoint_temperature,wind_speed,mean_sea_level_pressure,relative_humidity_01,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover,month,day,hour,COVID,Break,Semester,Exams,Monash_occupancy
2020-11-01 00:00:00,,,,,,,,,,,,,14.44,9.33,3.05,102398.77,0.71,497.65,355.39,0.94,11,01,00,1,0.0,1.0,0.0,0.3
2020-11-01 00:15:00,,,,,,,,,,,,,14.77,9.425,3.12,102397.995,0.7,544.085,353.8075,0.9424999999999999,11,01,00,1,0.0,1.0,0.0,0.3
2020-11-01 00:30:00,,,,,,,,,,,,,15.1,9.52,3.19,102397.22,0.69,590.52,352.225,0.945,11,01,00,1,0.0,1.0,0.0,0.3
2020-11-01 00:45:00,,,,,,,,,,,,,15.43,9.615,3.26,102396.445,0.68,636.9549999999999,350.6425,0.9475,11,01,00,1,0.0,1.0,0.0,0.3
2020-11-01 01:00:00,,,,,,,,,,,,,15.76,9.71,3.33,102395.67,0.67,683.39,349.06,0.95,11,01,01,1,0.0,1.0,0.0,0.3
2020-11-01 01:15:00,,,,,,,,,,,,,15.9675,9.807500000000001,3.435,102391.58,0.665,725.9,345.885,0.94,11,01,01,1,0.0,1.0,0.0,0.3
2020-11-01 01:30:00,,,,,,,,,,,,,16.175,9.905000000000001,3.54,102387.48999999999,0.66,768.41,342.71000000000004,0.9299999999999999,11,01,01,1,0.0,1.0,0.0,0.3
2020-11-01 01:45:00,,,,,,,,,,,,,16.3825,10.0025,3.645,102383.4,0.655,810.92,339.535,0.92,11,01,01,1,0.0,1.0,0.0,0.3
2020-11-01 02:00:00,,,,,,,,,,,,,16.59,10.1,3.75,102379.31,0.65,853.43,336.36,0.91,11,01,02,1,0.0,1.0,0.0,0.3
2020-11-01 02:15:00,,,,,,,,,,,,,16.7325,10.175,3.8225,102366.305,0.6475,868.8599999999999,333.15,0.8625,11,01,02,1,0.0,1.0,0.0,0.3
